{'loss': 0.7074, 'grad_norm': 2.192674398422241, 'learning_rate': 1.2796208530805689e-06, 'epoch': 0.01}
{'loss': 0.6963, 'grad_norm': 2.7380406856536865, 'learning_rate': 2.7014218009478675e-06, 'epoch': 0.02}
{'loss': 0.6989, 'grad_norm': 2.318852186203003, 'learning_rate': 4.123222748815166e-06, 'epoch': 0.03}
{'loss': 0.6796, 'grad_norm': 1.3943036794662476, 'learning_rate': 5.5450236966824644e-06, 'epoch': 0.04}
{'loss': 0.678, 'grad_norm': 1.1455360651016235, 'learning_rate': 6.966824644549763e-06, 'epoch': 0.05}
{'loss': 0.6646, 'grad_norm': 2.0295910835266113, 'learning_rate': 8.388625592417062e-06, 'epoch': 0.06}
{'loss': 0.6697, 'grad_norm': 1.8906601667404175, 'learning_rate': 9.81042654028436e-06, 'epoch': 0.07}
{'loss': 0.6618, 'grad_norm': 1.1507408618927002, 'learning_rate': 1.1232227488151658e-05, 'epoch': 0.08}
{'loss': 0.6576, 'grad_norm': 1.5802887678146362, 'learning_rate': 1.2654028436018959e-05, 'epoch': 0.09}
{'loss': 0.6477, 'grad_norm': 1.7784583568572998, 'learning_rate': 1.4075829383886256e-05, 'epoch': 0.09}
{'loss': 0.6334, 'grad_norm': 1.696058988571167, 'learning_rate': 1.5497630331753557e-05, 'epoch': 0.1}
{'loss': 0.6219, 'grad_norm': 1.5672240257263184, 'learning_rate': 1.6919431279620854e-05, 'epoch': 0.11}
{'loss': 0.6066, 'grad_norm': 2.061521053314209, 'learning_rate': 1.834123222748815e-05, 'epoch': 0.12}
{'loss': 0.6002, 'grad_norm': 3.0115671157836914, 'learning_rate': 1.976303317535545e-05, 'epoch': 0.13}
{'loss': 0.5939, 'grad_norm': 2.460237741470337, 'learning_rate': 2.118483412322275e-05, 'epoch': 0.14}
{'loss': 0.5676, 'grad_norm': 2.218676805496216, 'learning_rate': 2.260663507109005e-05, 'epoch': 0.15}
{'loss': 0.5361, 'grad_norm': 3.7385501861572266, 'learning_rate': 2.402843601895735e-05, 'epoch': 0.16}
{'loss': 0.5368, 'grad_norm': 3.030634880065918, 'learning_rate': 2.5450236966824644e-05, 'epoch': 0.17}
{'loss': 0.5442, 'grad_norm': 2.5228710174560547, 'learning_rate': 2.6872037914691944e-05, 'epoch': 0.18}
{'loss': 0.5091, 'grad_norm': 2.2818071842193604, 'learning_rate': 2.829383886255924e-05, 'epoch': 0.19}
{'loss': 0.4905, 'grad_norm': 2.5922629833221436, 'learning_rate': 2.9715639810426542e-05, 'epoch': 0.2}
{'loss': 0.4939, 'grad_norm': 2.2438695430755615, 'learning_rate': 2.9873350923482852e-05, 'epoch': 0.21}
