text,true_label,predicted_label
中青宝sg现场抓拍 兔子舞热辣表演,8,娱乐
一封1968年的平信45.92万元成交,0,教育
NBA球员孙悦女友生活照 黑丝袜显美腿妖娆(图),9,体育
第14名陈志民：5年超越大盘270%,0,游戏
保利地产两股东大举套现,2,房产
传奇3经典续作重现深挖品牌文化底蕴,8,科技
北美票房综述：《厄夜三十》吸血鬼镇压北美,9,教育
中国IC市场首次出现个位数增长,4,股票
怀恩豪斯生前挥霍 遗产缩水严重仅有200万英镑,9,房产
央视过火楼10月实拆 离主楼近成为施工难点(图),9,房产
高考生收到34封入学通知书 疑报名信息被泄密,5,教育
公司开出15万年薪只招自考生,5,教育
麦考林盘中最大跌幅47%,4,股票
邪风曲新版表情 秀出风格萌翻全场,8,科技
金融地产强势不减 3000点攻关在即,1,股票
鲁比尼：金融危机可能引发长时间全球衰退,2,科技
传蔡卓妍与英皇约满后跳槽金牌大风,9,股票
畅游申请1.38亿美元IPO计划,4,游戏
动视暴雪反诉讼两名被解雇高管,8,科技
61家基金二季报全线报亏 整体亏损金额超890亿,2,财经
全球化运营是游戏企业做强唯一出路,8,科技
平凡女孩用画笔叩开清华大门,3,科技
韩雪剧版《十三钗》变身神枪手准备冲击艾美奖,9,游戏
刚性需求宽松信贷投资客卷土重来,1,财经
合景香悦四季悦享春天时尚party璀璨闭幕(组图),1,体育
上海拒载拾荒老人公交车司机已被停职,5,教育
项目具有一定升值潜力 自住投资皆可,1,股票
FinePix HS22EXR真的很牛,4,游戏
公安部将加大对违法互联网单位处罚力度,4,时政
兔首加息利空出尽 三大点位悉数收复,2,财经
香港四富豪身家缩水800亿 李嘉诚损失最为惨重,0,娱乐
万千百货2010年新动力校园招聘全面铺开,1,教育
林志颖出售名下悍马车 被疑股票惨赔套现(图),0,娱乐
金百灵投资：静候IPO这只靴子,2,科技
福州处罚名人富人超生 一对夫妇多生一胎罚72万,5,体育
行情纠结再度收星 拉锯战中关注能否突破5日线,2,科技
国资委：央企要慎入股市与期货等高风险领域,0,股票
考特鲁克：明年全球棉花仍将供大于求,0,教育
北京股商：金融地产处于破位边缘,2,房产
MF Global：2010年世界10大宏观经济主题,2,游戏
方正与宏 展开全面战略合作 不互相参股,4,游戏
房地产：重点关注商业地产,2,房产
艳星歌星都爱体感 与Kinect有染明星,8,娱乐
英国男子造出高仿版二战德国潜艇(组图),6,社会
欧美股市自由落体 QDII净值一跌回到去年底,0,股票
银行辞职合同工冒领100多张信用卡套现200余万,0,科技
兰州练摊帝出书讲述创业故事,5,股票
短期PTA将呈现高位强势振荡 上方测试11000压力,0,科技
瑞士考虑放弃核能发电计划,6,科技
日本落实超600亿美元经济刺激计划,6,股票
部分国家驻华使馆联系方式(9),3,房产
清华研究生社会实践基地落户石河子,3,时政
分食雷曼不完全指南,2,科技
凡客诚品签约李宇春代言,4,娱乐
绝望“出柜”主妇可能离开紫藤街,9,科技
Grubby因CEPL延期选择SC2 偶尔War3,8,科技
机构做多意愿依然不强,2,财经
快讯：四环生物生物科技龙头逆势飙升 屡战新高,2,教育
陶 180万加盟深圳卫视跨年 高于巨星平时价格,9,体育
欧元区或将因削减财赤不当而陷入双底衰退,2,财经
乌克兰日采购俄天然气量增至1.2亿立方米,6,股票
中青旅：景区经营进一步 盈利能力强化中,2,财经
《哈利波特》7部小说电子版10月上线,4,游戏
VeriFone将收购Orange Logic,2,科技
恐慌杀跌致A股下挫  机构现分歧外资关注,2,财经
日本民间捕鲸之都遭重创可能就此告别历史舞台,2,时政
三宝科技落实投资于南京医药供应链管理公司,2,科技
火星发现远古温泉可能孕育生命(图),4,时政
长城景顺长城整改：6高管被警示 老鼠仓仍待解,0,房产
学生沉迷网游 家长叫停账号手续繁琐,8,科技
首探共有产权两年厘清路径 淮安试解夹心层困局,1,体育
超级碗预告片大作战：好莱坞09年暑期大片来袭,9,教育
广电研究会会长：新闻人才培养亟待变革创新,3,科技
刘德华模仿者进入明星脸改造最后环节,5,娱乐
FIA澄清S弯规则 T6T9T12三个弯道严惩车手切弯,7,科技
《文明II》“新春大礼包”获奖名单,8,娱乐
紫金矿业环保门拷问基金地雷股投资,0,股票
高晓松微博透露要拍商业大片 网友表示不感冒,9,科技
无视日本当局干预言论 日元再刷15年新高,2,娱乐
我国首个职务犯罪侦查方向研究生班探秘(图),3,时政
图文：墨西哥边境城市6人遭枪杀,6,教育
国务院公告：8月15日将举行全国哀悼,8,时政
韩国海力士半导体出售股份无人问津,4,股票
探访秘鲁沙漠地画纳斯卡文明源于水且止于水,4,时政
比伯驰骋NBA球场卖力秀球技 专业架势帅气(图),9,体育
环球天下教育上市敲钟流程,3,科技
《拆弹部队》制片方起诉5000名BT下载者,4,游戏
校长被网帖诬称疯狂敛财状告网站,5,科技
大成食品趁低收集,2,财经
360与腾讯弹窗大战获10万顶帖创纪录,8,科技
基金仓位已减无可减 周三股市四大看点,2,财经
香港中旅称将开发嵩山风景区,2,时政
冷酷的事实 微软告诉你Xb360完胜PS3,8,科技
建造业工作量依然下跌 但有迹象衰退速度放缓,1,财经
中石油人士：团购系员工个人出钱 绝非福利分房,1,社会
经合组织测验称中国学生水平领先世界,3,科技
博瑞梦工厂“寻梦计划”需要的资料,8,教育
