text,true_label,predicted_label
60年铁树开花形状似玉米芯(组图),5,教育
中青宝sg现场抓拍 兔子舞热辣表演,8,娱乐
状元心经：考前一周重点是回顾和整理,3,财经
你有随身听 我有随身看：掌上故事会,8,科技
一封1968年的平信45.92万元成交,0,房产
NBA球员孙悦女友生活照 黑丝袜显美腿妖娆(图),9,体育
卧龙电气：电机牵引变压器大增 蓄电池陷入低迷,2,科技
第14名陈志民：5年超越大盘270%,0,房产
保利地产两股东大举套现,2,房产
星河湾杯商界高尔夫巡回赛9月29日广州开赛(图),1,体育
2011香港电子展 AEE再度发力新品曝光,4,游戏
北美票房综述：《厄夜三十》吸血鬼镇压北美,9,房产
中国IC市场首次出现个位数增长,4,股票
怀恩豪斯生前挥霍 遗产缩水严重仅有200万英镑,9,体育
央视过火楼10月实拆 离主楼近成为施工难点(图),9,房产
高考生收到34封入学通知书 疑报名信息被泄密,5,教育
省级机关公开遴选公务员 最热岗位251人竞争,3,时政
公司开出15万年薪只招自考生,5,教育
缅甸首都发生严重火灾致数百商铺烧毁,6,社会
赵薇为毕业将暂别娱乐圈 称爱情要顺其自然,9,社会
麦考林盘中最大跌幅47%,4,股票
北京15所高校本周末举办校园开放日,3,房产
金融地产强势不减 3000点攻关在即,1,股票
北京别墅金九银十成交有望再创新高,1,财经
鲁比尼：金融危机可能引发长时间全球衰退,2,时政
传蔡卓妍与英皇约满后跳槽金牌大风,9,游戏
畅游申请1.38亿美元IPO计划,4,游戏
动视暴雪反诉讼两名被解雇高管,8,科技
61家基金二季报全线报亏 整体亏损金额超890亿,2,财经
平凡女孩用画笔叩开清华大门,3,社会
英国女子遭劫时胸罩挡住利刃保住性命(图),5,时政
巴萨挑战皇马寻求两大突破：在伯纳乌主客场四杀皇马,7,时政
博时价值一往情深 烟台万华渐露春色,0,科技
[短讯]截至4月2日当周欧央行黄金储备为3506.670亿欧元,0,股票
IEF2009联盟高校DOTA联赛即将开赛,8,科技
刚性需求宽松信贷投资客卷土重来,1,财经
FinePix HS22EXR真的很牛,4,游戏
