text,true_label,predicted_label
60年铁树开花形状似玉米芯(组图),5,教育
中青宝sg现场抓拍 兔子舞热辣表演,8,娱乐
《口袋妖怪 黑白》日本首周贩售255万,8,科技
一封1968年的平信45.92万元成交,0,科技
NBA球员孙悦女友生活照 黑丝袜显美腿妖娆(图),9,体育
卧龙电气：电机牵引变压器大增 蓄电池陷入低迷,2,娱乐
第14名陈志民：5年超越大盘270%,0,科技
保利地产两股东大举套现,2,房产
星河湾杯商界高尔夫巡回赛9月29日广州开赛(图),1,体育
2011香港电子展 AEE再度发力新品曝光,4,股票
《赤壁OL》最新美图赏析,8,科技
北美票房综述：《厄夜三十》吸血鬼镇压北美,9,房产
中国IC市场首次出现个位数增长,4,股票
《赛猪》激情只等你的加入！,8,科技
北京院子第一轮年终业主答谢活动启动,1,教育
HIT-5录制阿雅节目 现场换装演绎不同舞种(图),9,体育
央视过火楼10月实拆 离主楼近成为施工难点(图),9,房产
高考生收到34封入学通知书 疑报名信息被泄密,5,教育
省级机关公开遴选公务员 最热岗位251人竞争,3,社会
模特刘羽琦机车写真新鲜出炉 朋克味道十足(图),9,体育
公司开出15万年薪只招自考生,5,教育
麦考林盘中最大跌幅47%,4,教育
邪风曲新版表情 秀出风格萌翻全场,8,娱乐
金融地产强势不减 3000点攻关在即,1,股票
鹰王25+5+5联盟能有几人 另一20分先生却动念离开,7,娱乐
鲁比尼：金融危机可能引发长时间全球衰退,2,时政
传蔡卓妍与英皇约满后跳槽金牌大风,9,科技
畅游申请1.38亿美元IPO计划,4,游戏
动视暴雪反诉讼两名被解雇高管,8,科技
61家基金二季报全线报亏 整体亏损金额超890亿,2,财经
平凡女孩用画笔叩开清华大门,3,科技
胡瓜“诈赌案”官司仍在进行 全面封口拒受访,9,时政
博时价值一往情深 烟台万华渐露春色,0,科技
检方证据显示陈水扁家族至少还有十亿不法所得,6,股票
IEF2009联盟高校DOTA联赛即将开赛,8,科技
项目具有一定升值潜力 自住投资皆可,1,股票
FinePix HS22EXR真的很牛,4,游戏
公安部将加大对违法互联网单位处罚力度,4,时政
